location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,district,street,underground,price_per_meter
48,7,18,1,30.7,5000000.0,110,20.0,7.0,240,586,77,162866.44951140066
48,11,17,2,52.0,7350000.0,111,20.0,10.0,240,586,77,141346.15384615384
48,9,17,1,30.3,3000000.0,124,28.0,4.0,240,586,77,99009.900990099
48,3,5,1,30.0,4600000.0,55,18.0,7.0,240,506,77,153333.33333333334
48,15,17,1,30.7,4590000.0,110,28.0,10.0,240,586,77,149511.4006514658
48,4,4,1,32.3,3300000.0,52,28.0,6.0,240,439,77,102167.1826625387
48,3,17,1,30.2,5250000.0,112,13.2,12.0,240,586,77,173841.059602649
48,6,17,1,29.7,4900000.0,112,18.7,6.0,240,586,77,164983.16498316498
48,3,9,2,51.3,7350000.0,114,32.0,7.0,240,826,77,143274.8538011696
48,2,5,2,48.9,5300000.0,124,27.4,7.7,240,1928,77,108384.4580777096
48,17,17,1,43.4,6200000.0,107,28.0,11.0,240,360,77,142857.14285714287
48,1,3,1,28.1,2990000.0,124,15.5,6.3,240,126,77,106405.69395017793
48,5,5,3,63.3,6100000.0,63,28.0,6.0,240,826,77,96366.50868878358
48,3,4,2,46.0,5200000.0,124,20.0,6.0,240,439,77,113043.47826086955
48,2,4,2,31.7,3980000.0,58,21.2,4.1,240,586,77,125552.05047318611
48,11,18,1,31.0,3600000.0,111,19.0,6.0,240,586,77,116129.03225806452
48,2,3,1,12.0,2300000.0,124,10.0,10.0,240,828,77,191666.66666666663
48,3,3,2,46.0,4500000.0,53,28.0,10.0,240,815,77,97826.08695652174
48,3,5,2,41.0,4750000.0,124,26.0,5.6,240,506,344,115853.65853658535
48,10,17,1,35.6,4400000.0,110,17.9,8.7,240,775,77,123595.50561797751
48,3,5,1,30.5,4500000.0,55,18.1,7.0,240,506,77,147540.9836065574
48,3,4,2,73.0,5550000.0,124,28.0,10.0,240,360,77,76027.39726027397
48,13,17,2,44.3,6950000.0,108,27.3,8.0,240,823,77,156884.87584650115
48,3,5,1,30.9,3980000.0,62,16.6,6.9,240,826,77,128802.58899676376
48,5,5,2,46.4,5000000.0,124,30.0,6.0,240,506,77,107758.62068965516
48,3,3,1,35.1,5000000.0,124,18.0,9.0,240,1925,77,142450.14245014245
48,3,5,2,43.0,4300000.0,63,30.0,6.0,240,775,77,100000.0
48,6,18,1,42.0,4800000.0,112,28.0,8.0,240,775,77,114285.71428571428
48,5,5,1,30.6,3800000.0,58,19.0,6.0,240,126,77,124183.0065359477
48,4,4,1,29.6,3390000.0,56,20.0,5.5,240,439,77,114527.02702702704
48,2,17,1,50.0,6400000.0,124,27.0,18.0,240,586,77,128000.0
48,11,18,2,48.6,4500000.0,124,30.0,8.0,240,586,77,92592.59259259258
48,1,2,3,56.0,4300000.0,31,38.0,8.5,240,821,77,76785.71428571429
48,10,17,1,31.0,4900000.0,112,17.0,11.0,240,586,77,158064.51612903227
48,11,18,1,34.0,4550000.0,112,17.0,6.0,240,775,77,133823.5294117647
48,2,5,1,29.0,4200000.0,78,28.0,10.0,240,1828,77,144827.58620689655
48,11,17,1,31.7,3100000.0,112,20.0,7.0,240,586,77,97791.79810725553
48,2,18,2,48.0,4500000.0,110,32.0,6.0,240,586,77,93750.0
48,3,5,1,31.0,4050000.0,59,28.0,7.0,240,586,77,130645.16129032258
48,7,17,1,29.9,4600000.0,111,16.0,6.0,240,586,77,153846.15384615384
48,10,17,1,28.0,4200000.0,124,28.0,10.0,240,823,77,150000.0
48,3,5,3,61.0,6450000.0,63,45.0,6.1,240,1928,77,105737.7049180328
48,1,17,1,39.3,5500000.0,108,28.0,13.0,240,823,77,139949.10941475828
48,10,17,1,34.0,4200000.0,112,15.0,9.0,240,775,77,123529.41176470587
48,7,18,2,48.6,4500000.0,124,28.0,6.0,240,586,77,92592.59259259258
48,2,3,2,58.5,5700000.0,104,33.0,7.0,240,1925,77,97435.89743589744
48,17,17,2,51.3,4800000.0,111,28.0,9.0,240,586,77,93567.25146198831
48,2,18,1,34.0,4150000.0,112,15.0,8.0,240,775,77,122058.82352941176
48,3,3,2,54.2,5149000.0,104,32.7,8.1,240,1928,77,95000.0
48,5,5,3,53.5,6000000.0,124,28.0,7.5,240,506,77,112149.53271028036
48,10,17,1,34.4,5400000.0,107,14.1,10.8,240,360,77,156976.7441860465
48,2,3,2,57.3,5500800.0,107,29.7,8.3,240,1928,77,96000.0
48,10,18,1,33.0,4550000.0,112,17.0,6.0,240,775,77,137878.78787878787
48,3,3,1,32.0,4100000.0,124,28.0,6.0,240,815,77,128125.0
48,2,3,3,74.8,7180800.0,107,48.9,5.0,240,1928,77,96000.0
48,2,3,3,74.3,7800000.0,104,28.0,8.0,240,1925,77,104979.81157469716
48,3,5,3,58.0,5800000.0,62,40.0,6.0,240,1928,344,100000.0
48,1,17,2,50.0,7200000.0,124,28.0,10.0,240,586,77,144000.0
48,15,16,3,71.5,9800000.0,107,49.0,17.5,240,823,77,137062.93706293707
48,14,17,1,28.0,3140000.0,110,17.0,10.0,240,586,77,112142.85714285714
48,10,18,1,30.0,3300000.0,110,17.0,8.0,240,586,77,110000.0
48,10,17,1,30.0,3300000.0,124,28.0,10.0,240,586,344,110000.0
48,5,5,1,33.9,3350000.0,65,18.0,8.0,240,1928,77,98820.05899705016
48,1,5,1,35.0,3690000.0,65,17.2,8.5,240,1928,77,105428.57142857143
48,1,17,1,29.0,3730000.0,110,16.0,5.0,240,586,77,128620.68965517242
48,1,3,2,44.8,3900000.0,47,28.0,6.0,240,439,77,87053.57142857143
48,4,17,2,46.3,3998000.0,112,26.5,13.0,240,586,77,86349.89200863932
48,5,17,1,33.25,4000000.0,112,14.5,9.5,240,775,77,120300.75187969924
48,1,18,2,43.0,4100000.0,111,28.0,9.0,240,586,77,95348.83720930232
48,5,5,1,31.0,4200000.0,54,17.5,6.0,240,439,77,135483.87096774194
48,3,4,1,35.0,4290000.0,61,20.0,6.0,240,1928,77,122571.42857142857
48,16,17,2,50.0,4699000.0,111,30.0,15.0,240,586,77,93980.0
48,1,4,2,44.0,4300000.0,124,28.0,5.3,240,802,77,97727.27272727272
48,5,5,2,45.0,4700000.0,124,28.0,10.0,240,1928,77,104444.44444444444
48,16,17,1,30.0,4850000.0,107,19.0,6.0,240,586,77,161666.66666666666
48,2,3,1,40.1,4700000.0,104,19.7,10.8,240,1925,77,117206.98254364089
48,5,18,1,36.6,4800000.0,107,20.0,12.0,240,360,77,131147.54098360657
48,6,17,1,29.0,4599000.0,110,14.0,5.0,240,586,77,158586.2068965517
48,5,17,2,30.0,4690000.0,110,28.0,10.0,240,586,77,156333.33333333334
48,2,17,2,53.7,5300000.0,112,28.0,10.0,240,586,77,98696.46182495344
48,2,5,3,51.7,5500000.0,59,28.0,6.0,240,835,77,106382.97872340425
48,5,5,2,50.2,6300000.0,67,33.3,8.0,240,586,77,125498.00796812748
48,2,19,1,43.6,5400000.0,104,18.8,9.3,240,823,77,123853.21100917432
48,7,18,1,34.0,5800000.0,107,28.0,11.0,240,360,77,170588.23529411765
48,2,5,3,54.0,5600000.0,124,36.0,6.5,240,586,77,103703.70370370372
48,9,18,2,48.0,4550000.0,110,33.0,6.0,240,586,77,94791.66666666669
48,4,17,2,61.0,8300000.0,104,28.0,10.0,240,835,207,136065.5737704918
48,14,17,1,42.1,4700000.0,111,24.0,8.6,240,775,77,111638.95486935868
48,16,17,1,29.0,5100000.0,107,18.0,4.0,240,586,77,175862.06896551725
48,14,17,1,28.0,3299000.0,111,18.0,7.0,240,586,77,117821.42857142857
48,11,17,1,28.6,4600000.0,109,15.8,4.0,240,586,77,160839.16083916082
48,5,17,2,43.0,4500000.0,124,28.0,10.0,240,586,77,104651.16279069768
37,5,5,2,41.1,2100000.0,55,27.0,6.0,174,1928,344,51094.890510948906
37,4,4,3,76.6,3300000.0,23,55.0,12.0,173,439,344,43080.93994778068
37,2,4,1,29.5,2150000.0,53,16.8,6.0,173,193,344,72881.35593220338
37,2,5,2,44.1,2300000.0,55,30.0,5.8,174,1928,344,52154.19501133787
37,2,2,3,58.7,3000000.0,48,40.4,9.2,174,1928,344,51107.32538330494
37,2,4,2,48.0,2600000.0,124,32.0,6.0,173,690,344,54166.66666666666
37,2,9,2,50.4,4100000.0,124,29.2,7.7,173,439,344,81349.20634920635
37,5,9,3,65.6,6300000.0,75,42.1,7.6,174,1928,344,96036.58536585368
37,5,5,1,20.0,1850000.0,124,12.0,4.8,174,1928,344,92500.0
37,2,4,3,79.7,4200000.0,51,32.0,7.0,173,1783,344,52697.616060225846
37,5,5,1,31.5,2350000.0,60,16.5,6.6,174,1928,344,74603.1746031746
37,5,5,1,20.3,1750000.0,124,12.0,4.8,174,1928,344,86206.89655172413
37,8,9,1,33.3,3500000.0,80,18.0,8.0,173,1003,344,105105.10510510512
