author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
ID 9700810;homeowner;https://www.cian.ru/sale/flat/231282993/;Москва;sale;flat;2;4;1;32.0;7200000;2021;-1;-1;-1;-1;27 м²;-1;+79109119694;; Жемчужная;1к8;Филатов Луг;
ID 114309452;homeowner;https://www.cian.ru/sale/flat/299670750/;Москва;sale;flat;6;16;1;27.8;7200000;2022;-1;-1;-1;-1;19,2 м²;-1;+79683696787;; Гренадерская;9к2;Десна;Новые Ватутинки, мкр. Десна
ID 94449772;homeowner;https://www.cian.ru/sale/flat/297644982/;Москва;sale;flat;3;7;2;60.2;8300000;2022;-1;-1;-1;-1;32 м²;12,3 м²;+79109125414;; Медовая Долина;1к1;Санино;
