author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/306243017/;Москва;sale;flat;2;27;1;45.7;21798900;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;26,8 м²;7,8 м²;+74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308343895/;Москва;sale;flat;8;29;2;69.1;31095000;-1;-1;-1;-1;-1;-1;28,7 м²;+79057198567;Якиманка;Мытная ;40к3;Шаболовская;Sky House
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/295368854/;Москва;sale;flat;4;6;4;192.0;105000000;-1;-1;-1;-1;-1;170,3 м²;16,7 м²;+79645380960;Тверской; Малая Дмитровка;23/15С1;Пушкинская;
