author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308896854/;Москва;sale;flat;7;14;3;206.0;288277199;-1;-1;-1;-1;-1;-1;-1;+79653590192;Арбат;Малый Новопесковский переулок;8;Смоленская;Дом на Смоленской набережной
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/301496697/;Москва;sale;flat;3;5;3;82.9;42900000;-1;-1;-1;-1;-1;-1;-1;+79660471567;Тверской;1-й Самотечный переулок;17А;Достоевская;
MR Group;developer;https://www.cian.ru/sale/flat/306614056/;Москва;sale;flat;9;28;3;87.7;32115301;2027;-1;Монолитно-кирпичный, монолитный, кирпичный;-1;Без отделки, предчистовая;57,7 м²;-1;+74997058993;Даниловский;;;Павелецкая;Павелецкая Сити ЖК
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/305275545/;Москва;sale;flat;11;20;3;117.1;46500000;-1;-1;-1;-1;-1;70 м²;20 м²;+79169862459;Свиблово;проезд Серебрякова;11к1;Ботанический сад;Silver
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/308751301/;Москва;sale;flat;13;25;3;91.0;29990000;2022;-1;-1;-1;-1;60 м²;20 м²;+79652902316;Лосиноостровский;Тайнинская ;9;Медведково;Нормандия
Главстрой;developer;https://www.cian.ru/sale/flat/307942465/;Москва;sale;flat;5;35;3;95.73;40514371;2027;-1;Монолитный;-1;Без отделки;61,6 м²;9,1 м²;+74951387141;Котловка;31/2;31/2;Профсоюзная;Новые Академики ЖК
