author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
VESPER;developer;https://www.cian.ru/sale/flat/307211222/;Москва;sale;flat;8;9;1;57.6;117936000;2023;-1;Монолитный;-1;Без отделки, чистовая с мебелью;-1;-1;+74951387184;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
ID 112609323;realtor;https://www.cian.ru/sale/flat/307205775/;Москва;sale;flat;4;6;1;59.35;101785250;2024;-1;-1;-1;Без отделки;48,9 м²;-1;+79645659386;Мещанский; Кузнецкий Мост;12/3С1;Кузнецкий мост;Kuznetsky Most 12 by Lalique
ID 93236063;homeowner;https://www.cian.ru/sale/flat/308417143/;Москва;sale;flat;3;12;1;37.0;15890000;2005;-1;-1;-1;-1;18 м²;9 м²;+79167860122;Академический; Винокурова;2;Академическая;
