author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307997531/;Москва;sale;flat;15;27;3;80.4;29000000;2025;-1;-1;-1;Без отделки;39,9 м²;19,1 м²;+79855224775;Даниловский;1-я оч.;к5;ЗИЛ;Shagal
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/281250233/;Москва;sale;flat;7;21;2;62.0;30000000;2020;-1;-1;-1;-1;39 м²;11 м²;+79854216588;Свиблово;Сельскохозяйственная ;38к1;Ботанический сад;LIFE-Ботанический сад
Istudio;real_estate_agent;https://www.cian.ru/sale/flat/303356899/;Москва;sale;flat;5;6;5;220.0;255000000;2019;-1;-1;-1;-1;-1;-1;+79168601295;Раменки;Минская ;2Вк4;Минская;Снегири Эко
