author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/300299099/;Москва;sale;flat;5;8;4;75.0;59500000;-1;-1;-1;-1;-1;60 м²;10 м²;+79645650057;Замоскворечье;переулок Старый Толмачевский;17с1;Новокузнецкая;
COLDY;developer;https://www.cian.ru/sale/flat/308462308/;Москва;sale;flat;7;15;2;53.7;50408190;2027;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;-1;-1;+74951387020;Даниловский; Серпуховский Вал;7с16;Тульская;Дом 7 Даниловский
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/300472324/;Москва;sale;flat;6;7;5;271.7;294000000;2012;-1;-1;-1;-1;230 м²;30 м²;+79660587093;Хамовники;Смоленский бульвар;24к3;Смоленская;Клубный дом на Смоленском бульваре
EraOneHolding;developer;https://www.cian.ru/sale/flat/305196550/;Москва;sale;flat;7;8;2;121.8;141031579;2019;-1;-1;-1;Черновая;-1;-1;+74951387195;Арбат; Арбат;24;Смоленская;Turandot Residences
