author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679858/;Москва;sale;flat;11;20;3;87.02;32910964;2024;-1;-1;-1;-1;39,1 м²;34,3 м²;+79652908569;Даниловский;;;Тульская;Форст ЖК
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300871845/;Москва;sale;flat;3;15;3;95.0;35000000;2000;-1;-1;-1;-1;65 м²;20 м²;+79166030210;Пресненский;Зоологическая ;30С2;Баррикадная;
ANT Development;developer;https://www.cian.ru/sale/flat/303519403/;Москва;sale;flat;3;10;3;105.8;115430498;2024;-1;Монолитный;-1;Чистовая;-1;-1;+74951346248;Дорогомилово;;3к8;Поклонная;Виктори Парк Резиденсез ЖК
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/305736633/;Москва;sale;flat;35;41;3;97.4;95000000;-1;-1;-1;-1;-1;69 м²;7,3 м²;+79646331510;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
Дмитрий Асташов;realtor;https://www.cian.ru/sale/flat/307964340/;Москва;sale;flat;6;9;3;58.7;21000000;-1;-1;-1;-1;-1;44 м²;6,4 м²;+79160162374;Академический;Большая Черемушкинская ;2К1;Крымская;
Главстрой;developer;https://www.cian.ru/sale/flat/307941294/;Москва;sale;flat;4;20;3;103.7;40291971;2024;-1;Монолитно-кирпичный;-1;Без отделки;35,2 м²;25,5 м²;+74951379308;Филевский парк;Береговой проезд;2;Фили;Береговой-2
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/306447297/;Москва;sale;flat;13;21;3;130.0;155000000;-1;-1;-1;-1;-1;-1;20 м²;+79154194704;Пресненский; Костикова;4к4;Улица 1905 года;Lucky
Villagio Realty;real_estate_agent;https://www.cian.ru/sale/flat/307817649/;Москва;sale;flat;4;25;3;81.0;22900000;-1;-1;-1;-1;-1;44 м²;27 м²;+79153383587;Рязанский; Васильцовский Стан;7к1;Текстильщики;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/306243037/;Москва;sale;flat;15;23;3;82.8;39578400;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;52,1 м²;10 м²;+74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/302398135/;Москва;sale;flat;5;17;3;105.0;130000000;2017;-1;-1;-1;-1;-1;-1;+79855162121;Пресненский; Сергея Макеева;9к2;Улица 1905 года;RedSide
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308405573/;Москва;sale;flat;12;12;3;64.1;19999990;1967;-1;-1;-1;-1;44,6 м²;9,2 м²;+79165342774;Академический;Большая Черемушкинская ;20К2;Академическая;
MR Group;developer;https://www.cian.ru/sale/flat/300288094/;Москва;sale;flat;5;43;3;84.79;40300687;2025;-1;Монолитный;-1;Предчистовая, чистовая;35,7 м²;-1;+74951374843;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/296710178/;Москва;sale;flat;22;31;3;83.0;52000000;2022;-1;-1;-1;-1;-1;-1;+79154194704;Раменки; Лобачевского;120к1;Аминьевская;Крылья
Марина Кузьмина;realtor;https://www.cian.ru/sale/flat/306000498/;Москва;sale;flat;3;6;3;67.0;19700000;1958;-1;-1;-1;-1;42 м²;20 м²;+79851562819;Нагатино-Садовники;Нагатинская ;29К1;Коломенская;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/308080997/;Москва;sale;flat;2;6;3;118.66;195551680;2024;-1;-1;-1;Без отделки;48 м²;32,6 м²;+74951387122;Замоскворечье;Космодамианская набережная;4/22С8;Новокузнецкая;Клубный дом Космо 4/22
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/306888870/;Москва;sale;flat;25;35;3;137.6;70000000;2003;-1;-1;-1;-1;-1;20 м²;+79623676737;Щукино;Авиационная ;79К1;Щукинская;Алые Паруса
ID 12693939;realtor;https://www.cian.ru/sale/flat/308367102/;Москва;sale;flat;24;28;3;71.0;38000000;2021;-1;-1;-1;-1;-1;30 м²;+79660639904;Филевский парк;Береговой проезд;1Б;Шелепиха;мой адрес На Береговом
Среда;developer;https://www.cian.ru/sale/flat/304753723/;Москва;sale;flat;2;44;3;83.71;28859441;2027;-1;Монолитный;-1;Без отделки, предчистовая;38,4 м²;-1;+74951387079;Кунцево;48-й кв-л;;Кунцевская;Кутузовский Квартал ЖК
Sminex;developer;https://www.cian.ru/sale/flat/293713709/;Москва;sale;flat;2;14;3;142.1;309370000;2024;-1;Монолитный;-1;Без отделки;46,6 м²;44,5 м²;+74951375467;Якиманка;;;Полянка;Лаврушинский ЖК
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/291925257/;Москва;sale;flat;3;9;3;148.5;189000000;-1;-1;-1;-1;-1;118 м²;-1;+79853420387;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
TOUCH;developer;https://www.cian.ru/sale/flat/302838498/;Москва;sale;flat;6;13;3;75.37;41550880;2024;-1;Монолитный;-1;Без отделки, чистовая;-1;11,9 м²;+74951387101;Южнопортовый;;к3;Дубровка;Шампайн ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/304304141/;Москва;sale;flat;7;18;3;89.7;98000000;2026;-1;-1;-1;-1;-1;10 м²;+79175343915;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
Пионер;developer;https://www.cian.ru/sale/flat/301459890/;Москва;sale;flat;7;18;3;84.9;60621401;2028;-1;Монолитный;-1;Без отделки, чистовая;-1;-1;+74951370987;Донской;2-й Донской проезд;10;Ленинский проспект;SHIFT
САДОВЫЕ КВАРТАЛЫ;real_estate_agent;https://www.cian.ru/sale/flat/304330107/;Москва;sale;flat;11;14;3;242.97;328500000;-1;-1;-1;-1;-1;-1;30 м²;+79660625198;Хамовники; Усачева;11;Спортивная;Садовые кварталы
Absolute Premium;developer;https://www.cian.ru/sale/flat/304065721/;Москва;sale;flat;2;18;3;118.1;134761000;2026;-1;Монолитный;-1;Без отделки, предчистовая;39,5 м²;-1;+74951387189;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
Ramenky Realty;real_estate_agent;https://www.cian.ru/sale/flat/300298619/;Москва;sale;flat;8;12;3;136.5;102000000;2023;-1;-1;-1;Без отделки;-1;-1;+79161911830;Раменки; Сергея Бондарчука;4;Мичуринский проспект;Река
Ташир;developer;https://www.cian.ru/sale/flat/308803040/;Москва;sale;flat;25;32;3;83.7;;2021;-1;Монолитный;-1;Без отделки, предчистовая, чистовая, чистовая с мебелью;49,2 м²;15,1 м²;+74951346260;Черемушки;Херсонская ;43к5;Зюзино;ONYX Deluxe
ID 111783;homeowner;https://www.cian.ru/sale/flat/307780900/;Москва;sale;flat;5;14;3;104.0;29600000;1998;-1;-1;-1;-1;70 м²;15 м²;+79161350945;Коптево; Космонавта Волкова;29К1;Красный Балтиец;
COLDY;developer;https://www.cian.ru/sale/flat/303330161/;Москва;sale;flat;4;15;3;112.49;85627388;2027;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;-1;-1;+74951387020;Даниловский; Серпуховский Вал;7;Тульская;Дом 7 Даниловский
Ашихмин и партнёры;real_estate_agent;https://www.cian.ru/sale/flat/307581660/;Москва;sale;flat;5;19;3;106.5;75000000;-1;-1;-1;-1;-1;-1;5 м²;+79154666852;Раменки;Ломоносовский проспект;25к2;Университет;Dominion
Донстрой;developer;https://www.cian.ru/sale/flat/308969444/;Москва;sale;flat;5;21;3;78.6;32996280;2027;-1;Монолитный;-1;Без отделки, чистовая, чистовая с мебелью;41,2 м²;18,1 м²;+74951387018;Лефортово;;;Площадь Ильича;Символ ЖК
Пионер;developer;https://www.cian.ru/sale/flat/308640109/;Москва;sale;flat;3;11;3;85.9;77617693;2025;-1;Монолитно-кирпичный;-1;Без отделки;-1;-1;+74951387235;Даниловский;;;Павелецкая;Опус ЖК
ID 101798981;homeowner;https://www.cian.ru/sale/flat/307470424/;Москва;sale;flat;15;28;3;100.0;59000000;2020;-1;-1;-1;-1;68 м²;21 м²;+79660638133;Филевский парк;Береговой проезд;1А;Шелепиха;мой адрес На Береговом
Tekta Group;developer;https://www.cian.ru/sale/flat/303506224/;Москва;sale;flat;9;34;3;57.1;23599430;2026;-1;Монолитно-кирпичный;-1;Без отделки;36,4 м²;-1;+74951379105;Нагорный;;2;Нагорная;Твелв ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/306151519/;Москва;sale;flat;5;8;3;123.0;74800000;2001;-1;-1;-1;-1;-1;13 м²;+79623610548;Тверской;Сущевская ;31;Менделеевская;
Sminex;developer;https://www.cian.ru/sale/flat/308620410/;Москва;sale;flat;2;21;3;79.64;44810000;2024;-1;Монолитный;-1;Без отделки;43,2 м²;12,3 м²;+74951347316;Марфино; Академика Королева;21;Бутырская;Дом Достижение
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/308657569/;Москва;sale;flat;6;7;3;150.3;186000000;1949;-1;-1;-1;-1;-1;30 м²;+79168080390;Пресненский;Садовая-Кудринская ;8-10-12;Баррикадная;
MR Group;developer;https://www.cian.ru/sale/flat/306610279/;Москва;sale;flat;8;59;3;56.1;;2028;-1;Монолитно-кирпичный;-1;Предчистовая;36,1 м²;-1;+74951370518;Можайский;;;Давыдково;Веер ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/307215537/;Москва;sale;flat;3;14;3;138.9;236130000;-1;-1;-1;-1;-1;-1;-1;+79645387299;Хамовники;переулок 1-й Тружеников;16;Киевская;Brodsky
UNIQ Development;developer;https://www.cian.ru/sale/flat/307668354/;Москва;sale;flat;11;25;3;109.2;89544000;2027;-1;-1;-1;Чистовая;95 м²;-1;+74951464743;Фили-Давыдково;Малая Филевская ;46;Кунцевская;Springs
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/304737194/;Москва;sale;flat;3;21;3;92.2;98285200;2023;-1;-1;-1;-1;57 м²;8 м²;+79645664024;Пресненский;2-я Звенигородская ;14;Улица 1905 года;Lucky
MR Group;developer;https://www.cian.ru/sale/flat/306603347/;Москва;sale;flat;16;36;3;88.0;70149112;2027;-1;Монолитный;-1;Без отделки;-1;-1;+74951378819;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/282555064/;Москва;sale;flat;2;18;3;70.0;29950000;2018;-1;-1;-1;-1;-1;-1;+79057198567;Беговой;Ленинградский проспект;29к3;Динамо;Царская площадь
Пионер;developer;https://www.cian.ru/sale/flat/308884181/;Москва;sale;flat;3;39;3;70.5;47630082;2027;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;-1;-1;+74951387048;Даниловский;;;Павелецкая;Хай Лайф ЖК
Romanov Estate;real_estate_agent;https://www.cian.ru/sale/flat/302154001/;Москва;sale;flat;5;33;3;99.0;48999999;2025;-1;-1;-1;Чистовая;56,5 м²;30 м²;+79636236030;Пресненский; Пресненский Вал;27С2;Белорусская;Republic
