author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Tekta Group;developer;https://www.cian.ru/sale/flat/306869031/;Москва;sale;flat;16;34;1;31.2;15178800;2026;-1;Монолитно-кирпичный;-1;Без отделки;14,2 м²;-1;+74951379105;Нагорный;;2;Нагорная;Твелв ЖК
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/307575540/;Москва;sale;flat;4;21;2;54.0;59000000;2023;-1;-1;-1;-1;30 м²;12 м²;+79801202623;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
Sminex;developer;https://www.cian.ru/sale/flat/308620473/;Москва;sale;flat;23;26;1;35.67;21910000;2024;-1;Монолитный;-1;Без отделки;11 м²;15,8 м²;+74951347316;Марфино; Академика Королева;21;Бутырская;Дом Достижение
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/306462179/;Москва;sale;flat;24;24;4;196.0;65000000;2009;-1;-1;-1;-1;-1;20 м²;+79651509137;Можайский;Можайское шоссе;22к2;Рабочий посёлок;
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/298700667/;Москва;sale;flat;5;58;3;167.0;65000000;2014;-1;-1;-1;-1;120 м²;30 м²;+79854216588;Ростокино;проспект Мира;188Бк1;Ростокино;Триколор
RMRealty;real_estate_agent;https://www.cian.ru/sale/flat/307967977/;Москва;sale;flat;3;14;3;93.0;64900000;2023;-1;-1;-1;-1;-1;35 м²;+79852068469;Раменки;проспект Генерала Дорохова;39к1В;Минская;Собрание клубных домов West Garden
