author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
VESPER;developer;https://www.cian.ru/sale/flat/307211222/;Москва;sale;flat;8;9;1;57.6;117936000;2023;-1;Монолитный;-1;Без отделки, чистовая с мебелью;-1;-1;+74951387184;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
ID 12530791;unknown;https://www.cian.ru/sale/flat/303761506/;Москва;sale;flat;38;78;1;58.0;58500000;2020;-1;-1;-1;-1;-1;-1;+79651189398;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/308552017/;Москва;sale;flat;5;12;1;35.0;9500000;1969;-1;-1;-1;-1;19,8 м²;9,8 м²;+79152322394;Богородское;1-я Гражданская ;99К1;Преображенская площадь;
ID 112609323;realtor;https://www.cian.ru/sale/flat/307205775/;Москва;sale;flat;4;6;1;59.35;101785250;2024;-1;-1;-1;Без отделки;48,9 м²;-1;+79645659386;Мещанский; Кузнецкий Мост;12/3С1;Кузнецкий мост;Kuznetsky Most 12 by Lalique
