author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
VESPER;developer;https://www.cian.ru/sale/flat/286258299/;Москва;sale;flat;5;9;2;104.2;150958800;2023;-1;Монолитный;-1;Без отделки, чистовая с мебелью;-1;28 м²;+74951387184;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308553708/;Москва;sale;flat;9;12;2;88.0;59350000;-1;-1;-1;-1;-1;-1;10 м²;+79057198567;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
Сергей Черных;realtor;https://www.cian.ru/sale/flat/306445585/;Москва;sale;flat;4;12;2;40.0;14600000;1969;-1;-1;-1;-1;23,8 м²;6,7 м²;+79660642719;Очаково-Матвеевское;Очаковское шоссе;4К2;Аминьевская;
VESPER;developer;https://www.cian.ru/sale/flat/308762624/;Москва;sale;flat;5;21;2;110.6;108976392;2023;-1;Монолитный;-1;Чистовая, чистовая с мебелью;-1;34,6 м²;+74951347641;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679467/;Москва;sale;flat;4;20;2;64.29;24166611;2024;-1;-1;-1;-1;22,2 м²;19,9 м²;+79652908569;Даниловский;Автозаводская ;26;Тульская;FORST
