author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Ксения Шахматова;realtor;https://www.cian.ru/sale/flat/308927633/;Москва;sale;flat;8;9;3;61.0;27000000;1968;-1;-1;-1;-1;-1;7 м²;+79164642528;Аэропорт; Усиевича;25К1;Сокол;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/303040443/;Москва;sale;flat;5;5;3;183.1;174494300;2017;-1;Монолитно-кирпичный, монолитный, кирпичный;-1;Без отделки, черновая;70,9 м²;43,8 м²;+74951387060;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов Театральный Дом
Tekta Group;developer;https://www.cian.ru/sale/flat/301259721/;Москва;sale;flat;19;42;3;65.9;30201484;2023;-1;Монолитный;-1;Без отделки, предчистовая;28,9 м²;-1;+74951387129;Котловка;Севастопольский проспект;22А;Нагорная;Eniteo
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/308711129/;Москва;sale;flat;9;21;3;117.0;115000000;2023;-1;-1;-1;-1;-1;10 м²;+79645660140;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
