author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Центрис;real_estate_agent;https://www.cian.ru/sale/flat/307655813/;Москва;sale;flat;4;5;-1;380.0;600000000;-1;-1;-1;-1;-1;125,1 м²;12,7 м²;+79858704059;Хамовники; Усачева;11К;Спортивная;Садовые кварталы
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/298724092/;Москва;sale;flat;18;21;5;190.0;210000000;2019;-1;-1;-1;-1;-1;-1;+79067527603;Пресненский;Мантулинская ;9к2;Деловой центр;City Park
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/297946122/;Москва;sale;flat;4;12;4;212.0;325000000;2002;-1;-1;-1;-1;-1;20 м²;+79850141998;Пресненский;Шведский тупик;3;Тверская;
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/300543381/;Москва;sale;flat;6;6;-1;556.4;400000000;2016;-1;-1;-1;-1;-1;20 м²;+79645659607;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/228935891/;Москва;sale;flat;5;6;-1;375.0;412500000;2018;-1;-1;-1;-1;-1;-1;+79150114761;Раменки;Минская ;2Вк3;Минская;Снегири Эко
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/299478558/;Москва;sale;flat;2;10;2;64.75;70000000;2024;-1;-1;-1;Чистовая;18 м²;27 м²;+79645504947;Дорогомилово; Братьев Фонченко;;Парк Победы;Victory Park Residences
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/307871009/;Москва;sale;flat;19;24;2;55.3;70000000;2018;-1;-1;-1;-1;18,3 м²;25 м²;+79645504947;Беговой;Верхняя ;20к1;Белорусская;Суббота
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/304364690/;Москва;sale;flat;2;5;4;177.0;70000000;-1;-1;-1;-1;-1;120 м²;15 м²;+79660472713;Тверской; Петровка;26С3;Пушкинская;La Rue
BERI;real_estate_agent;https://www.cian.ru/sale/flat/308089669/;Москва;sale;flat;4;6;3;75.0;71250000;1890;-1;-1;-1;-1;41,8 м²;14,3 м²;+79099114698;Хамовники;переулок Плотников;10;Смоленская;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/307701788/;Москва;sale;flat;6;8;4;233.2;430000000;2009;-1;-1;-1;-1;185 м²;25 м²;+79645644929;Хамовники;переулок Хилков;1;Парк Культуры;Парк Палас
