author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Пионер;developer;https://www.cian.ru/sale/flat/305778449/;Москва;sale;flat;3;26;1;23.9;22602971;2027;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;-1;-1;+74951387048;Даниловский;;;Павелецкая;Хай Лайф ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308552384/;Москва;sale;flat;1;3;5;325.0;380000000;2021;-1;-1;-1;-1;150 м²;30 м²;+79652685525;Тверской;Долгоруковская ;23А;Новослободская;Cameo Moscow Villas
ID 88675389;unknown;https://www.cian.ru/sale/flat/299351553/;Москва;sale;flat;2;6;2;70.0;31600000;2022;-1;-1;-1;-1;34 м²;24 м²;+79165548823;Москворечье-Сабурово;переулок 1-й Котляковский;2Ак3;Варшавская;LIFE Варшавская
