author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
VESPER;developer;https://www.cian.ru/sale/flat/307544571/;Москва;sale;flat;2;21;3;157.8;165216600;2023;-1;Монолитный;-1;Чистовая, чистовая с мебелью;-1;46,2 м²;+74951347641;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/308802493/;Москва;sale;flat;10;20;3;110.7;122000000;-1;-1;-1;-1;-1;65 м²;25 м²;+79856120994;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
ID 53674910;homeowner;https://www.cian.ru/sale/flat/307426466/;Москва;sale;flat;2;8;3;133.3;230000000;-1;-1;-1;-1;-1;-1;56 м²;+79660622744;Раменки;Мосфильмовская ;1к4;Ломоносовский проспект;Вишневый сад
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/303040443/;Москва;sale;flat;5;5;3;183.1;174494300;2017;-1;Монолитно-кирпичный, монолитный, кирпичный;-1;Без отделки, черновая;70,9 м²;43,8 м²;+74951387060;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов Театральный Дом
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/306567075/;Москва;sale;flat;2;10;3;115.0;101000000;2008;-1;-1;-1;-1;-1;45 м²;+79197672046;Тверской;Большая Грузинская ;69;Белорусская;Четыре Ветра
Екатерина Трипольская;realtor;https://www.cian.ru/sale/flat/308788985/;Москва;sale;flat;8;12;3;94.0;49000000;1972;-1;-1;-1;-1;51 м²;13 м²;+79645643904;Видовая кв-ра в е Мосфильма3-комн. квартира;94 м²;;;
Tekta Group;developer;https://www.cian.ru/sale/flat/301259721/;Москва;sale;flat;19;42;3;65.9;30201484;2023;-1;Монолитный;-1;Без отделки, предчистовая;28,9 м²;-1;+74951387129;Котловка;Севастопольский проспект;22А;Нагорная;Eniteo
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/308825551/;Москва;sale;flat;2;12;3;106.2;53000000;2005;-1;-1;-1;-1;60 м²;16 м²;+79660274811;Хорошевский;Ходынский бульвар;19;ЦСКА;Гранд-парк
BERI;real_estate_agent;https://www.cian.ru/sale/flat/308568986/;Москва;sale;flat;5;9;3;59.0;23950000;1970;-1;-1;-1;-1;42,2 м²;6,7 м²;+79099114698;Раменки;Винницкая ;17;Раменки;
VESPER;developer;https://www.cian.ru/sale/flat/308110877/;Москва;sale;flat;4;6;3;264.6;661500000;2027;-1;-1;-1;С отделкой;-1;-1;+74951346294;Пресненский;Трехпрудный переулок;9С2;Пушкинская;Клубный дом Левенсон
