author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
SKYEST;real_estate_agent;https://www.cian.ru/sale/flat/307103864/;Москва;sale;flat;5;21;3;119.0;112000000;2023;-1;-1;-1;-1;78 м²;15 м²;+79199906422;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/258783641/;Москва;sale;flat;7;8;5;457.5;867754799;2007;-1;-1;-1;-1;300 м²;32 м²;+79660587093;Тверской;переулок Брюсов;19;Тверская;Брюсов 19
BRIGHT ESTATE - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/303778337/;Москва;sale;flat;9;14;2;99.9;134500000;-1;-1;-1;-1;-1;-1;20 м²;+79104833462;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
