author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Пионер;developer;https://www.cian.ru/sale/flat/305778449/;Москва;sale;flat;3;26;1;23.9;22602971;2027;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;-1;-1;+74951387048;Даниловский;;;Павелецкая;Хай Лайф ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/304754747/;Москва;sale;flat;2;3;5;311.0;265000000;-1;-1;-1;-1;-1;184 м²;20 м²;+79660490133;Хамовники;1-й Зачатьевский переулок;6;Кропоткинская;
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/298519131/;Москва;sale;flat;6;6;5;319.3;250000000;2016;-1;-1;-1;-1;-1;20 м²;+79645659607;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/303505952/;Москва;sale;flat;3;6;3;139.0;129000000;2005;-1;-1;-1;-1;-1;20 м²;+79175745176;Тверской;1-й Колобовский переулок;14;Трубная;
