author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/306069648/;Москва;sale;flat;6;17;4;218.0;125000000;2004;-1;-1;-1;-1;-1;-1;+79031353929;Раменки;Мосфильмовская ;70к7;Минская;Воробьевы Горы
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/299474737/;Москва;sale;flat;2;9;3;125.8;129900000;2012;-1;-1;-1;-1;-1;-1;+79060434618;Арбат;Большой Афанасьевский переулок;28;Арбатская;Большой Афанасьевский пер, вл.24
