author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
VESPER;developer;https://www.cian.ru/sale/flat/307211222/;Москва;sale;flat;8;9;1;57.6;117936000;2023;-1;Монолитный;-1;Без отделки, чистовая с мебелью;-1;-1;+74951387184;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
ID 12530791;unknown;https://www.cian.ru/sale/flat/303761506/;Москва;sale;flat;38;78;1;58.0;58500000;2020;-1;-1;-1;-1;-1;-1;+79651189398;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/308552017/;Москва;sale;flat;5;12;1;35.0;9500000;1969;-1;-1;-1;-1;19,8 м²;9,8 м²;+79152322394;Богородское;1-я Гражданская ;99К1;Преображенская площадь;
VESPER;developer;https://www.cian.ru/sale/flat/306541560/;Москва;sale;flat;5;21;1;65.9;82172522;2023;-1;Монолитный;-1;Чистовая, чистовая с мебелью;18,8 м²;24,9 м²;+74951347641;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
ID 85604823;unknown;https://www.cian.ru/sale/flat/305768574/;Москва;sale;flat;6;42;1;42.0;29000000;2023;-1;-1;-1;-1;15 м²;12 м²;+79647714670;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
