author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Среда;developer;https://www.cian.ru/sale/flat/303859420/;Москва;sale;flat;3;13;3;71.3;24567484;2027;-1;Монолитный;-1;Предчистовая;47,6 м²;-1;+74997154155;Очаково-Матвеевское;Очаково мкр;;Аминьевская;Среда на Лобачевского
Среда;developer;https://www.cian.ru/sale/flat/303859434/;Москва;sale;flat;6;13;1;35.3;14608904;2027;-1;Монолитный;-1;Предчистовая;21,1 м²;-1;+74997154155;Очаково-Матвеевское;Очаково мкр;;Аминьевская;Среда на Лобачевского
Romanov Estate;real_estate_agent;https://www.cian.ru/sale/flat/306079971/;Москва;sale;flat;15;20;2;79.4;29870000;2024;-1;-1;-1;Без отделки;47,4 м²;11 м²;+79636236030;Нагатино-Садовники;Варшавское шоссе;37АК1;Нагатинская;Rotterdam
