author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/307822693/;Москва;sale;flat;9;18;2;66.4;69700000;2026;-1;-1;-1;-1;-1;10 м²;+79645660140;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
ID 74991203;homeowner;https://www.cian.ru/sale/flat/308079051/;Москва;sale;flat;3;24;2;53.2;19570000;-1;-1;-1;-1;-1;-1;17 м²;+79647979823;Донской;Новоданиловская набережная;8к2;Верхние котлы;Новоданиловская 8
Среда;developer;https://www.cian.ru/sale/flat/304753839/;Москва;sale;flat;12;30;2;56.31;21423871;2027;-1;Монолитный;-1;Без отделки, предчистовая;21,2 м²;-1;+74951387079;Кунцево;48-й кв-л;;Кунцевская;Кутузовский Квартал ЖК
