author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308343895/;Москва;sale;flat;8;29;2;69.1;31095000;-1;-1;-1;-1;-1;-1;28,7 м²;+79057198567;Якиманка;Мытная ;40к3;Шаболовская;Sky House
TimeProperty;real_estate_agent;https://www.cian.ru/sale/flat/293666231/;Москва;sale;flat;20;43;3;84.2;37500000;2023;-1;-1;-1;-1;-1;-1;+79623620296;Хорошево-Мневники;Шелепихинская набережная;34к7;Шелепиха;Сердце Столицы
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/295368854/;Москва;sale;flat;4;6;4;192.0;105000000;-1;-1;-1;-1;-1;170,3 м²;16,7 м²;+79645380960;Тверской; Малая Дмитровка;23/15С1;Пушкинская;
